Line,DataOwnerCode,DestinationCode,DestinationName50,LineDirection,LineName,LinePlanningNumber,LinePublicNumber,LineWheelchairAccessible,TransportType
CXX_Z171_1,CXX,Z17102414,Rotterdam Zuidplein,1,Oud Beijerland-Rotterdam,Z171,171,ACCESSIBLE,BUS
ARR_26055_2,ARR,5369,Heerlen,2,Gulpen via Ubachsberg - Heerlen,26055,55,UNKNOWN,BUS
ARR_26055_1,ARR,5357,Gulpen,1,Gulpen via Ubachsberg - Heerlen,26055,55,UNKNOWN,BUS
ARR_28212_1,ARR,1710,Franeker Station,1,"Achlum, Jonkerschap - Franeker, Station",28212,8102,NOTACCESSIBLE,BUS
EBS_1610_1,EBS,1856,Volendam,1,Marken - Monnickendam - Volendam,1610,610,ACCESSIBLE,BUS
ARR_28212_2,ARR,2502,Achlum Jonkerschap,2,"Achlum, Jonkerschap - Franeker, Station",28212,8102,NOTACCESSIBLE,BUS
KEOLIS_4813_1,KEOLIS,4076,Slangenbeek,1,"Hengelo, Station - Hasseler Es",4813,13,ACCESSIBLE,BUS
KEOLIS_4813_2,KEOLIS,102,Centraal Station,2,"Hengelo, Station - Hasseler Es",4813,13,ACCESSIBLE,BUS
KEOLIS_5504_1,KEOLIS,5161,Montfoort,1,IJsselstein - Montfoort,5504,504,ACCESSIBLE,BUS
KEOLIS_5504_2,KEOLIS,5148,IJsselstein,2,IJsselstein - Montfoort,5504,504,ACCESSIBLE,BUS
ARR_51203_1,ARR,1871,Busstation,1,Busstation - Camminghaburen,51203,3,UNKNOWN,BUS
ARR_51203_2,ARR,1762,Camminghaburen,2,Busstation - Camminghaburen,51203,3,UNKNOWN,BUS
ARR_28149_1,ARR,1739,Buitenpost Station,1,"Kollum, De Colle - Buitenpost, Station",28149,7611,NOTACCESSIBLE,BUS
EBS_1307_1,EBS,1848,Purmerend De Purmer,1,Amsterdam Noord - Purmerend De Purmer,1307,307,ACCESSIBLE,BUS
ARR_22602_2,ARR,9641,Tilburg,2,Waalwijk - Tilburg Stappegoor,22602,602,UNKNOWN,BUS
ARR_28149_2,ARR,2341,Kollum De Colle,2,"Kollum, De Colle - Buitenpost, Station",28149,7611,NOTACCESSIBLE,BUS
EBS_1307_2,EBS,1813,Amsterdam Noord,2,Amsterdam Noord - Purmerend De Purmer,1307,307,ACCESSIBLE,BUS
ARR_23400_1,ARR,9540,Oosterhout,1,Oosterhout - Utrecht,23400,400,UNKNOWN,BUS
ARR_25084_1,ARR,5657,Boxmeer,1,Boxmeer - Gennep,25084,84,UNKNOWN,BUS
ARR_25084_2,ARR,5665,Gennep,2,Boxmeer - Gennep,25084,84,UNKNOWN,BUS
ARR_23400_2,ARR,5186,Utrecht Centraal,2,Oosterhout - Utrecht,23400,400,UNKNOWN,BUS
EBS_1610_2,EBS,1833,Marken,2,Marken - Monnickendam - Volendam,1610,610,ACCESSIBLE,BUS
GVB_17_2,GVB,ODY,Osdorp Dijkgraafplein,2,Osdorp Dijkgraafplein - Centraal Station,17,17,ACCESSIBLE,TRAM
GVB_17_1,GVB,CS,Centraal Station,1,Osdorp Dijkgraafplein - Centraal Station,17,17,ACCESSIBLE,TRAM
ARR_28572_1,ARR,2302,Drachten Transferium,1,"Nij Beets - Drachten, Transferium Oost",28572,6622,NOTACCESSIBLE,BUS
